x,y,z
0.089,0.055,5.0
0.09,-0.103,4.0
0.09,0.103,4.0
0.094,-0.238,2.0
0.094,0.238,2.0
0.097,-0.159,3.0
0.097,-0.104,4.0
0.097,0.104,4.0
0.097,0.159,3.0
0.098,-0.052,5.0
0.098,0.052,5.0
0.102,-0.051,5.0
0.102,0.051,5.0
0.103,-0.39,0.8
0.103,0.39,0.8
0.104,-0.239,2.0
0.104,0.239,2.0
0.107,-0.105,4.0
0.107,0.105,4.0
0.108,-0.36,1.0
0.108,0.36,1.0
0.11,-0.162,3.0
0.11,0.162,3.0
0.115,-0.412,0.6
0.115,0.412,0.6
0.116,-0.043,5.0
0.116,0.043,5.0
0.118,-0.105,4.0
0.118,0.105,4.0
0.119,-0.163,3.0
0.119,0.163,3.0
0.12,-0.04,5.0
0.12,0.04,5.0
0.123,-0.037,5.0
0.123,0.037,5.0
0.126,-0.034,5.0
0.126,0.034,5.0
0.127,-0.242,2.0
0.127,0.242,2.0
0.129,-0.165,3.0
0.129,-0.105,4.0
0.129,-0.03,5.0
0.129,0.03,5.0
0.129,0.105,4.0
0.129,0.165,3.0
0.13,-0.392,0.8
0.13,0.392,0.8
0.132,-0.025,5.0
0.132,0.025,5.0
0.134,-0.243,2.0
0.134,-0.02,5.0
0.134,0.02,5.0
0.134,0.243,2.0
0.135,-0.445,0.4
0.135,-0.362,1.0
0.135,0.362,1.0
0.135,0.445,0.4
0.137,-0.015,5.0
0.137,0.015,5.0
0.138,-0.009,5.0
0.138,0.009,5.0
0.139,-0.0,5.0
0.142,-0.415,0.6
0.142,0.415,0.6
0.143,-0.394,0.8
0.143,-0.167,3.0
0.143,0.167,3.0
0.143,0.394,0.8
0.146,-0.243,2.0
0.146,-0.102,4.0
0.146,0.102,4.0
0.146,0.243,2.0
0.148,-0.364,1.0
0.148,0.364,1.0
0.151,-0.101,4.0
0.151,0.101,4.0
0.156,-0.417,0.6
0.156,0.417,0.6
0.159,-0.168,3.0
0.159,-0.098,4.0
0.159,0.098,4.0
0.159,0.168,3.0
0.162,-0.097,4.0
0.162,0.097,4.0
0.163,-0.396,0.8
0.163,0.396,0.8
0.166,-0.095,4.0
0.166,0.095,4.0
0.168,-0.366,1.0
0.168,0.366,1.0
0.175,-0.397,0.8
0.175,0.397,0.8
0.176,-0.419,0.6
0.176,-0.168,3.0
0.176,0.168,3.0
0.176,0.419,0.6
0.179,-0.245,2.0
0.179,0.245,2.0
0.18,-0.367,1.0
0.18,-0.088,4.0
0.18,0.088,4.0
0.18,0.367,1.0
0.183,-0.085,4.0
0.183,0.085,4.0
0.187,-0.419,0.6
0.187,0.419,0.6
0.19,-0.398,0.8
0.19,-0.167,3.0
0.19,0.167,3.0
0.19,0.398,0.8
0.194,-0.076,4.0
0.194,0.076,4.0
0.195,-0.368,1.0
0.195,0.368,1.0
0.198,-0.166,3.0
0.198,0.166,3.0
0.199,-0.071,4.0
0.199,0.071,4.0
0.202,-0.42,0.6
0.202,0.42,0.6
0.206,-0.399,0.8
0.206,-0.063,4.0
0.206,0.063,4.0
0.206,0.399,0.8
0.208,-0.06,4.0
0.208,0.06,4.0
0.21,-0.056,4.0
0.21,0.056,4.0
0.211,-0.369,1.0
0.211,0.369,1.0
0.216,-0.244,2.0
0.216,0.244,2.0
0.217,-0.042,4.0
0.217,0.042,4.0
0.218,-0.421,0.6
0.218,0.421,0.6
0.219,-0.162,3.0
0.219,-0.036,4.0
0.219,0.036,4.0
0.219,0.162,3.0
0.221,-0.029,4.0
0.221,0.029,4.0
0.223,-0.022,4.0
0.223,0.022,4.0
0.224,-0.014,4.0
0.224,-0.007,4.0
0.224,-0.0,4.0
0.224,0.007,4.0
0.224,0.014,4.0
0.225,-0.16,3.0
0.225,0.16,3.0
0.229,-0.399,0.8
0.229,0.399,0.8
0.234,-0.369,1.0
0.234,-0.243,2.0
0.234,0.243,2.0
0.234,0.369,1.0
0.241,-0.422,0.6
0.241,0.422,0.6
0.242,-0.154,3.0
0.242,0.154,3.0
0.246,-0.152,3.0
0.246,0.152,3.0
0.248,-0.475,0.2
0.248,-0.447,0.4
0.248,0.447,0.4
0.248,0.475,0.2
0.253,-0.241,2.0
0.253,0.241,2.0
0.255,-0.148,3.0
0.255,0.148,3.0
0.256,-0.24,2.0
0.256,0.24,2.0
0.26,-0.24,2.0
0.26,0.24,2.0
0.263,-0.399,0.8
0.263,0.399,0.8
0.268,-0.369,1.0
0.268,0.369,1.0
0.269,-0.239,2.0
0.269,0.239,2.0
0.271,-0.139,3.0
0.271,0.139,3.0
0.274,-0.137,3.0
0.274,0.137,3.0
0.276,-0.422,0.6
0.276,0.422,0.6
0.281,-0.132,3.0
0.281,0.132,3.0
0.285,-0.235,2.0
0.285,0.235,2.0
0.287,-0.127,3.0
0.287,0.127,3.0
0.294,-0.122,3.0
